Draft,Trim,V,PE,DISP,PR
14.5,0.75,19.5,23045,136317.3,1.07430889002844
14.5,0.75,21,28833,136317.3,1.07867564534231
14.5,0.75,23,38213,136317.3,1.08701712465153
14.5,1,13,6594,136317.3,1.05504
14.5,1,15,10145,136317.3,1.02671794352798
14.5,1,16.5,13656,136317.3,1.03832116788321
14.5,1,18,18082,136317.3,1.06421046436349
14.5,1,19.5,23203,136317.3,1.08167451400867
14.5,1,21,28818,136317.3,1.07811447811448
14.5,1,23,38105,136317.3,1.08394492803095
14.5,1.5,13,6573,136317.3,1.05168
14.5,1.5,15,10164,136317.3,1.02864082582735
14.5,1.5,16.5,13645,136317.3,1.03748479318735
14.5,1.5,18,18196,136317.3,1.07091989876994
14.5,1.5,19.5,23444,136317.3,1.09290942147219
14.5,1.5,21,28879,136317.3,1.08039655817434
14.5,1.5,23,38041,136317.3,1.0821243670706
14.5,2,13,6553,136317.3,1.04848
14.5,2,15,10183,136317.3,1.03056370812671
14.5,2,16.5,13635,136317.3,1.03672445255474
14.5,2,18,18310,136317.3,1.07762933317639
14.5,2,19.5,23686,136317.3,1.10419094680901
14.5,2,21,28939,136317.3,1.08264122708567
14.5,2,23,37977,136317.3,1.08030380611026
14.5,2.5,13,6533,136317.3,1.04528
14.5,2.5,15,10202,136317.3,1.03248659042607
14.5,2.5,16.5,13624,136317.3,1.03588807785888
14.5,2.5,18,18425,136317.3,1.08439762227061
14.5,2.5,19.5,23928,136317.3,1.11547247214582
14.5,2.5,21,29000,136317.3,1.08492330714553
14.5,2.5,23,37913,136317.3,1.07848324514991
14.5,3.5,13,6492,136317.3,1.03872
14.5,3.5,15,10241,136317.3,1.03643355935634
14.5,3.5,16.5,13603,136317.3,1.03429136253041
14.5,3.5,18,18653,136317.3,1.09781649108351
14.5,3.5,19.5,24411,136317.3,1.13798890494616
14.5,3.5,21,29121,136317.3,1.08945005611672
14.5,3.5,23,37785,136317.3,1.07484212322922
14.5,4.5,13,6451,136317.3,1.03216
14.5,4.5,15,10279,136317.3,1.04027932395507
14.5,4.5,16.5,13582,136317.3,1.03269464720195
14.5,4.5,18,18881,136317.3,1.11123535989642
14.5,4.5,19.5,24894,136317.3,1.16050533774649
14.5,4.5,21,29234,136317.3,1.09367751589974
14.5,4.5,23,37657,136317.3,1.07120100130853
